population,location,number,ID,ramet,temp,no_tubes,tubes,total_grains,mean_length,median_length,sd_length,se_length,max_length,time
Oil Patch,South,8,OP8,D,10,527,43,570,0.031656871,0.028286794,0.010182348,0.002276842,0.061112959,16
Oil Patch,South,8,OP8,D,20,76,448,524,0.824347403,0.806396189,0.087808679,0.019634618,0.985476212,16
Oil Patch,South,8,OP8,D,25,24,123,147,1.150582364,1.067095769,0.192348523,0.043010437,1.728722488,16
Oil Patch,South,8,OP8,D,30,46,198,244,1.010949543,0.983866768,0.115173723,0.025753627,1.308304318,16
Oil Patch,South,8,OP8,D,40,448,278,726,0.132147082,0.122978048,0.031445727,0.007031478,0.232057988,16
Oil Patch,South,9,OP9,A,10,239,18,257,0.027982267,0.027376729,0.006166914,0.001378964,0.042516304,16
Oil Patch,South,9,OP9,A,20,72,194,266,0.971848257,0.945056848,0.097946813,0.021901573,1.185631449,16
Oil Patch,South,9,OP9,A,25,79,223,302,1.061077258,1.05854331,0.108799861,0.024328388,1.359682506,16
Oil Patch,South,9,OP9,A,30,72,207,279,0.857972517,0.84420607,0.106474661,0.023808458,1.156971343,16
Oil Patch,South,9,OP9,A,40,151,185,336,0.223811644,0.178625188,0.091686513,0.020501728,0.425846279,16
Oil Patch,South,9,OP9,C,10,270,15,285,0.041595855,0.038917372,0.006886359,0.001539837,0.052889326,16
Oil Patch,South,9,OP9,C,20,95,199,294,0.376463161,0.33608931,0.134587011,0.030094571,0.813348794,16
Oil Patch,South,9,OP9,C,25,89,296,385,0.602152595,0.538489398,0.166065216,0.037133311,1.068021858,16
Oil Patch,South,9,OP9,C,30,179,380,559,0.84569272,0.797922114,0.16571964,0.037056038,1.347492766,16
Oil Patch,South,9,OP9,C,40,288,238,526,0.094476794,0.085236343,0.040484092,0.009052518,0.232556034,16
Oil Patch,South,9,OP9,D,10,760,3,763,0.008439323,0.00422912,0.010994852,0.002458524,0.035006887,16
Oil Patch,South,9,OP9,D,20,50,108,158,0.841045201,0.854796281,0.095146089,0.021275312,0.695173569,16
Oil Patch,South,9,OP9,D,25,30,87,117,0.951834187,0.900322097,0.18019437,0.040292686,1.456001427,16
Oil Patch,South,9,OP9,D,30,57,134,191,0.846742579,0.828809905,0.136748708,0.030577941,1.244532717,16
Oil Patch,South,9,OP9,D,40,131,49,180,0.113275812,0.102907214,0.028758405,0.006430575,0.186907913,16
Prairie Island,North,1,PI1,A,10,330,24,354,0.038030468,0.033096673,0.015033255,0.003361538,0.08012481,16
Prairie Island,North,1,PI1,A,20,114,302,416,0.950687891,0.937346608,0.137626407,0.0307742,1.273170901,16
Prairie Island,North,1,PI1,A,25,165,412,577,0.957333381,0.931939721,0.113964381,0.02548321,1.179040319,16
Prairie Island,North,1,PI1,A,30,65,316,381,1.001106252,0.918111087,0.193944236,0.043367249,1.411464015,16
Prairie Island,North,1,PI1,A,40,131,418,549,0.215829876,0.213001374,0.040222438,0.00899401,0.317851283,16
Prairie Island,North,1,PI1,C,10,138,4,142,0.036245705,0.03740679,0.013428706,0.004048907,0.061447321,16
Prairie Island,North,1,PI1,C,20,107,249,356,1.115564537,1.094870068,0.143782414,0.032150725,1.370098141,16
Prairie Island,North,1,PI1,C,25,91,199,290,1.066421826,1.074967948,0.261899326,0.05856247,1.653671509,16
Prairie Island,North,1,PI1,C,30,73,170,243,1.151075133,1.148142815,0.136915331,0.030615199,1.468638286,16
Prairie Island,North,1,PI1,C,40,44,263,307,0.269846904,0.259914626,0.037480458,0.008380885,0.37526333,16
Prairie Island,North,10,PI10,B,10,650,30,680,0.037839519,0.035693397,0.011783221,0.004165998,0.059054727,16
Prairie Island,North,10,PI10,B,20,38,158,196,0.87010661,0.867416133,0.076786771,0.017170044,1.033331003,16
Prairie Island,North,10,PI10,B,25,38,141,179,0.937739703,0.896050598,0.113561775,0.025393185,1.282007378,16
Prairie Island,North,10,PI10,B,30,39,174,213,0.835375689,0.827121497,0.039522505,0.008837501,0.981226929,16
Prairie Island,North,10,PI10,B,40,58,119,177,0.220218404,0.203668274,0.042883058,0.009588943,0.320321372,16
Prairie Island,North,11,PI11,C,10,147,4,151,0.030618979,0.02956898,0.008426933,0.002540816,0.047090353,16
Prairie Island,North,11,PI11,C,20,317,563,880,1.043214452,1.03368081,0.163097737,0.036469763,1.448068549,16
Prairie Island,North,11,PI11,C,25,95,154,249,1.273771933,1.202153437,0.233997834,0.052323506,1.986393217,16
Prairie Island,North,11,PI11,C,30,190,462,652,1.297727079,1.243916013,0.174677058,0.039058978,1.744332658,16
