STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TMAX,TMIN,TOBS,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,6/30/2018,,93,72,81,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/1/2018,,90,66,71,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/2/2018,,81,59,64,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/3/2018,,84,64,67,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/4/2018,,85,67,74,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/5/2018,,90,69,73,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/6/2018,,82,58,61,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/7/2018,,79,61,63,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/8/2018,,79,61,63,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/9/2018,,83,63,67,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/10/2018,,88,65,67,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/11/2018,,83,62,67,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/12/2018,,85,67,71,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/13/2018,,90,70,71,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/14/2018,,82,67,71,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/15/2018,,80,68,72,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/16/2018,,86,67,68,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/17/2018,,82,63,65,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/18/2018,,78,57,62,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/19/2018,,80,62,66,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/20/2018,,73,65,66,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/21/2018,,74,65,65,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/22/2018,,79,62,62,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/23/2018,,77,62,63,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/24/2018,,82,63,65,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/25/2018,,81,61,66,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/26/2018,,81,57,60,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/27/2018,,71,56,58,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/28/2018,,75,54,60,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/29/2018,,77,56,69,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/30/2018,,78,58,60,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,7/31/2018,,81,59,60,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,8/1/2018,,83,60,64,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,8/2/2018,,80,57,57,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,8/3/2018,,69,52,57,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,8/4/2018,,81,57,71,,,,,,,
USC00211198,"CALEDONIA, MN US",43.6309,-91.5027,355.4,8/5/2018,,81,65,67,,,,,,,
