,ID,location,population,number,block,HCMS,CCMS,HCHPL,CCHPL,CPS_dif,HPS_dif
230,PI25,North,Prairie Island,25,3,0.959206273,0.452834133,0.552627177,0.837606838,NA,3.5
231,PI25,North,Prairie Island,25,7,0.873406689,0.466450848,0.547582852,0.728242289,-26.23,-21.37
236,PI27,North,Prairie Island,27,13,0.847169836,0.510329083,0.339164113,0.72392245,NA,NA
237,PI27,North,Prairie Island,27,19,0.663398691,0.606917015,0.498631657,0.797439607,NA,NA
238,PI27,North,Prairie Island,27,21,0.638339073,0.400815768,0.324377318,0.655197244,NA,NA
239,PI27,North,Prairie Island,27,3,0.950471615,0.500575061,0.821173469,0.83902746,NA,-20.4
240,PI27,North,Prairie Island,27,8,0.42403558,0.464316693,0.339991979,0.614284777,5.1,NA
243,PI28,North,Prairie Island,28,1,0.958188427,0.619204901,0.427545133,0.768820126,-22.6,-19.85
244,PI28,North,Prairie Island,28,14,0.911329482,0.438868419,0.375771089,0.624647295,-16.58,7.1
245,PI28,North,Prairie Island,28,16,0.871619641,0.466107109,0.471737914,0.844848524,-4.6,-3.68
246,PI28,North,Prairie Island,28,8,0.441052312,0.539469929,0.836097406,0.778581596,-7.1,NA
250,PI3,North,Prairie Island,3,11,0.676485227,0.423360272,0.376923077,0.769894744,-14.12,-11.94
251,PI3,North,Prairie Island,3,18,0.567679656,0.386878384,0.336276567,0.321900482,-17.172,-8.5
252,PI3,North,Prairie Island,3,4,0.326460743,0.538187121,0.64614052,0.816239675,NA,NA
253,PI3,North,Prairie Island,3,9,0.626073196,0.485246384,0.680231788,0.730099248,-20.6,-16.63
257,PI30,North,Prairie Island,30,13,0.859739439,0.478894821,0.78044522,0.675950006,NA,NA
258,PI30,North,Prairie Island,30,16,0.861505569,0.428073012,0.555539613,0.703274244,NA,NA
259,PI30,North,Prairie Island,30,3,0.982889169,0.441394808,0.602522021,0.851964835,NA,10.7
260,PI30,North,Prairie Island,30,7,0.906814171,0.50168032,0.387634115,0.617460317,-16.54,NA
263,PI4,North,Prairie Island,4,1,0.918450088,0.582014584,0.265536621,0.748638861,-27.68,-9.2
264,PI4,North,Prairie Island,4,11,0.804060167,0.4551398,0.296816768,0.785201149,0.7,-17.8
265,PI4,North,Prairie Island,4,17,0.842008113,0.453328251,0.38617332,0.77184238,-2.6,-12.3
266,PI4,North,Prairie Island,4,9,0.764314126,0.522053953,0.302882999,0.458204237,-10.9,-1.7
271,PI5,North,Prairie Island,5,15,0.803958428,0.483023833,0.31498834,0.764993536,NA,NA
272,PI5,North,Prairie Island,5,19,0.676686687,0.444751131,0.449020165,0.747867235,NA,NA
273,PI5,North,Prairie Island,5,4,0.769213716,0.630463512,0.513016994,0.745148377,NA,NA
274,PI5,North,Prairie Island,5,8,0.406014509,0.473817011,0.345607553,0.698255366,-17.4,NA
276,PI9,North,Prairie Island,9,1,0.902590176,0.625896524,0.228470437,0.888818136,16.38,25.68
277,PI9,North,Prairie Island,9,15,0.631314022,0.4592348,0.530380259,0.8260695,NA,NA
278,PI9,North,Prairie Island,9,18,0.634229528,0.458679423,0.840106007,0.833827261,NA,NA
279,PI9,North,Prairie Island,9,7,0.884895917,0.484399077,0.604926625,0.752936461,2,-7.8
286,RE3,South,Reserve,3,15,0.86850207,0.45475747,0.490054969,0.665471561,NA,NA
287,RE3,South,Reserve,3,17,0.764110704,0.49020103,0.394794721,0.633867196,NA,NA
288,RE3,South,Reserve,3,3,0.958796206,0.506514859,0.584509271,0.698520454,NA,-3.6
289,RE3,South,Reserve,3,7,0.831487152,0.476983714,0.378004882,0.381451544,15.52,-11.4
292,RE5,South,Reserve,5,10,0.609995773,0.542430905,0.41030508,0.585205993,-7.9,NA
293,RE5,South,Reserve,5,12,0.754636503,0.495599082,0.469426582,0.595941082,NA,NA
294,RE5,South,Reserve,5,18,0.689335355,0.426703329,0.472502441,0.623202514,NA,NA
295,RE5,South,Reserve,5,5,0.615576324,0.544723004,0.82309484,0.54368932,NA,NA
298,RE6,South,Reserve,6,15,0.76101939,0.489989902,0.36624424,0.645812053,NA,NA
299,RE6,South,Reserve,6,4,0.62572201,0.601103257,0.347572816,0.497545382,NA,NA
300,RE6,South,Reserve,6,6,0.440843347,0.510278439,0.303627561,0.593277155,0.2,-12.6
301,RE7,South,Reserve,7,13,0.855303211,0.519528651,0.335191914,0.664643366,NA,NA
302,RE7,South,Reserve,7,19,0.75677037,0.5269084,0.476002192,0.266984336,NA,NA
303,RE7,South,Reserve,7,21,0.594698964,0.450546716,0.426475257,0.077344564,NA,NA
304,RE7,South,Reserve,7,3,0.889403222,0.5853809,0.46310236,0.525499879,NA,NA
305,RE8,South,Reserve,8,15,0.723514188,0.494119874,0.407951589,0.463676062,NA,NA
306,RE8,South,Reserve,8,17,0.858584495,0.443961377,0.357677903,0.544202748,NA,NA
307,RE8,South,Reserve,8,3,0.696922058,0.58226432,0.354809129,0.559369152,NA,NA
